,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
882,50745017,6,882,200,2000,2000,0.22,0.94,9,8,0.95,0.68,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
883,38755902,6,883,200,2000,2000,0.53,0.51,8,6,0.2,0.68,50,1066.08,0.0,0.0,15.27526104523258,0.0,0.0,39,0.14227485454302347,0,0.0
884,16780915,6,884,200,2000,2000,0.02,0.75,7,5,0.77,0.34,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
885,55569844,6,885,200,2000,2000,0.23,0.52,6,5,0.57,0.79,50,20.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
886,73616048,6,886,200,2000,2000,0.64,0.66,5,3,0.52,0.35,50,1243.71,0.0,0.0,16.003933891390577,0.0,0.0,10,0.17941367897584748,0,0.0
887,2287317,6,887,200,2000,2000,0.14,0.57,4,3,0.2,0.53,50,28.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
888,98741640,6,888,200,2000,2000,0.68,0.32,2,1,0.02,0.42,50,1452.4,0.0,0.0,231.75797720898413,0.0,0.0,3,0.39534242035636147,0,0.0
889,80554609,6,889,200,2000,2000,0.28,0.05,6,3,0.51,0.91,50,83.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
890,38078644,6,890,200,2000,2000,0.81,0.77,8,4,0.38,0.25,50,1622.03,0.0,0.0,20.613323361360244,0.0,0.0,45,0.22955920454516032,0,0.0
891,71276870,6,891,200,2000,2000,0.54,0.36,6,4,0.16,0.71,50,1092.35,858.92,730.86,16.94365663013743,15.709029250720747,17.76007882865389,18,0.2603559890277354,2,0.3695349583585926
892,92925992,6,892,200,2000,2000,0.69,0.97,6,2,0.84,0.45,50,1271.0,0.0,0.0,21.65132790384922,0.0,0.0,12,0.15105166602670766,0,0.0
893,90071864,6,893,200,2000,2000,0.48,0.17,1,3,0.67,0.92,50,637.15,0.0,0.0,8.007964785137357,0.0,0.0,2,0.7105929593388174,0,0.0
894,25017143,6,894,200,2000,2000,0.03,0.59,1,3,0.87,0.64,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
895,57768336,6,895,200,2000,2000,0.95,0.62,9,5,0.77,0.67,50,1898.05,0.0,0.0,9.586839938165234,0.0,0.0,16,0.17201642956233162,0,0.0
896,91612357,6,896,200,2000,2000,0.94,0.19,9,5,0.74,0.38,50,1880.26,0.0,0.0,11.419824867308606,0.0,0.0,39,0.1463421883195156,0,0.0
897,2288132,6,897,200,2000,2000,0.73,0.56,6,4,0.36,0.6,50,1464.71,0.0,0.0,22.060505433919687,0.0,0.0,44,0.17123985058332622,0,0.0
898,68614682,6,898,200,2000,2000,0.52,0.21,6,6,0.75,0.6,50,770.61,589.32,427.22,16.561941311331832,148.8086610382608,149.05412305602286,4,0.6265936268560569,13,0.8650715255934405
899,38697770,6,899,200,2000,2000,0.75,0.56,3,6,0.77,0.87,50,1444.24,0.0,0.0,18.4689577399484,0.0,0.0,21,0.19408571736815688,0,0.0
900,33561901,6,900,200,2000,2000,0.68,0.46,1,2,0.78,0.99,50,1261.5,0.0,0.0,18.373078130786904,0.0,0.0,3,0.3805210771099327,0,0.0
901,85227308,6,901,200,2000,2000,0.77,0.64,6,1,0.54,0.51,50,1523.42,0.0,0.0,18.81976620471147,0.0,0.0,13,0.1362797938696201,0,0.0
902,24836255,6,902,200,2000,2000,0.43,0.51,9,2,0.45,0.91,50,623.04,0.0,0.0,0.1959591794226542,0.0,0.0,5,0.47708333333333713,0,0.0
903,61437979,6,903,200,2000,2000,0.04,0.43,7,4,0.18,0.56,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
904,33859170,6,904,200,2000,2000,0.27,0.8,2,6,0.75,0.73,50,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
